Année,Mois,URL
2014,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2014_a1442.html
2014,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2014_a1446.html
2014,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2014_a1459.html
2014,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2014_a1473.html
2014,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2014_a1481.html
2014,de Décembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-de-l-annee-2014_a1496.html
2015,de Janvier,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Janvier-2015_a1508.html
2015,de Février,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Fevrier-2015_a1514.html
2015,de Mars,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mars-2015_a1531.html
2015,d'Avril,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Avril-2015_a1543.html
2015,de Mai,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Mai-2015_a1557.html
2015,de Juin,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juin-2015_a1579.html
2015,de Juillet,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Juillet-2015_a1587.html
2015,d'Août,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Aout-2015_a1592.html
2015,de Septembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Septembre-2015_a1608.html
2015,d'Octobre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-d-Octobre-2015_a1617.html
2015,de Novembre,https://www.hcp.ma/L-Indice-des-prix-a-la-consommation-IPC-du-mois-de-Novembre-2015_a1633.html
